298.976595788 633.376991836 	387.167487114 808.045611317 	357.759688111 727.329953231 	
298.97648212 633.37712451 	387.166705205 808.0432643 	357.759596537 727.329899864 	
298.976375513 633.377248962 	387.16597172 808.041062706 	357.759510667 727.329849849 	
298.976275528 633.377365701 	387.165283663 808.038997532 	357.759430143 727.329802973 	
298.976181752 633.377475205 	387.164638224 808.03706033 	357.759354632 727.329759038 	
298.9760938 633.377577921 	387.164032767 808.035243176 	357.75928382 727.329717857 	
298.97601131 633.377674271 	387.163464817 808.033538635 	357.759217414 727.329679256 	
298.975933942 633.377764649 	387.162932053 808.031939734 	357.759155139 727.329643071 	
298.975861377 633.377849424 	387.162432298 808.030439929 	357.759096738 727.32960915 	
298.975793317 633.377928945 	387.161963507 808.029033081 	357.759041968 727.32957735 	
298.975729482 633.378003536 	387.161523764 808.027713431 	357.758990603 727.329547538 	
298.97566961 633.378073503 	387.16111127 808.026475579 	357.758942432 727.329519588 	
298.975613454 633.378139133 	387.160724338 808.025314455 	357.758897254 727.329493383 	
298.975560783 633.378200695 	387.160361386 808.024225306 	357.758854885 727.329468814 	
298.975511382 633.378258439 	387.160020927 808.023203672 	357.758815148 727.329445778 	
298.975465046 633.378312604 	387.159701568 808.02224537 	357.75877788 727.329424179 	
298.975421586 633.378363411 	387.159402004 808.021346474 	357.758742927 727.329403926 	
298.975380822 633.378411068 	387.159121006 808.020503303 	357.758710145 727.329384935 	
298.975342588 633.37845577 	387.158857426 808.019712405 	357.758679399 727.329367128 	
298.975306727 633.378497701 	387.158610184 808.018970538 	357.758650563 727.32935043 	
298.97527309 633.378537032 	387.158378268 808.018274665 	357.758623517 727.329334772 	
298.975241541 633.378573925 	387.158160727 808.017621934 	357.758598151 727.329320088 	
298.975211949 633.37860853 	387.157956672 808.017009671 	357.75857436 727.329306319 	
298.975184193 633.378640989 	387.157765267 808.016435369 	357.758552045 727.329293406 	
298.975158159 633.378671436 	387.157585728 808.015896673 	357.758531116 727.329281296 	
298.97513374 633.378699995 	387.157417318 808.015391377 	357.758511487 727.32926994 	
298.975110836 633.378726784 	387.15725935 808.01491741 	357.758493075 727.32925929 	
298.975089353 633.378751911 	387.157111175 808.01447283 	357.758475807 727.329249303 	
298.975069202 633.37877548 	387.156972186 808.014055816 	357.75845961 727.329239936 	
298.975050302 633.378797588 	387.156841814 808.013664658 	357.758444418 727.329231151 	
298.975032573 633.378818325 	387.156719526 808.013297754 	357.758430169 727.329222912 	
298.975015945 633.378837776 	387.156604819 808.0129536 	357.758416804 727.329215186 	
298.975000348 633.378856021 	387.156497224 808.012630785 	357.758404269 727.329207939 	
298.974985719 633.378873135 	387.156396301 808.012327986 	357.758392512 727.329201143 	
298.974971996 633.378889188 	387.156301634 808.012043963 	357.758381483 727.329194769 	
298.974959125 633.378904245 	387.156212838 808.011777551 	357.75837114 727.32918879 	
298.974947053 633.378918368 	387.156129547 808.011527659 	357.758361438 727.329183183 	
298.974935729 633.378931616 	387.15605142 808.011293261 	357.758352338 727.329177924 	
298.974925107 633.378944042 	387.155978138 808.011073399 	357.758343802 727.329172992 	
298.974915145 633.378955698 	387.155909399 808.010867169 	357.758335796 727.329168366 	
298.9749058 633.378966631 	387.155844923 808.010673728 	357.758328287 727.329164027 	
298.974897035 633.378976886 	387.155784445 808.010492281 	357.758321243 727.329159958 	
298.974888813 633.378986505 	387.155727717 808.010322086 	357.758314637 727.329156141 	
298.974881101 633.378995527 	387.155674506 808.010162445 	357.75830844 727.329152561 	
298.974873868 633.379003991 	387.155624595 808.010012703 	357.758302628 727.329149203 	
298.974867083 633.379011929 	387.155577778 808.009872246 	357.758297176 727.329146054 	
298.974860719 633.379019375 	387.155533865 808.009740499 	357.758292062 727.3291431 	
298.97485475 633.379026359 	387.155492674 808.009616922 	357.758287266 727.32914033 	
298.974849151 633.37903291 	387.155454038 808.009501007 	357.758282767 727.329137731 	
298.974843899 633.379039055 	387.155417798 808.009392281 	357.758278547 727.329135294 	
298.974838973 633.379044819 	387.155383805 808.009290297 	357.758274589 727.329133008 	
298.974834352 633.379050226 	387.155351919 808.009194637 	357.758270876 727.329130863 	
298.974830018 633.379055297 	387.155322011 808.009104909 	357.758267394 727.329128852 	
298.974825953 633.379060054 	387.155293958 808.009020745 	357.758264128 727.329126966 	
298.97482214 633.379064515 	387.155267644 808.0089418 	357.758261064 727.329125196 	
298.974818563 633.379068701 	387.155242962 808.008867751 	357.75825819 727.329123537 	
298.974815208 633.379072626 	387.15521981 808.008798293 	357.758255495 727.32912198 	
298.974812062 633.379076308 	387.155198094 808.008733143 	357.758252966 727.32912052 	
298.97480911 633.379079762 	387.155177725 808.008672033 	357.758250595 727.32911915 	
298.974806341 633.379083002 	387.155158619 808.008614712 	357.75824837 727.329117866 	
298.974803744 633.37908604 	387.155140697 808.008560946 	357.758246284 727.329116661 	
298.974801308 633.379088891 	387.155123887 808.008510514 	357.758244327 727.329115531 	
298.974799024 633.379091564 	387.155108119 808.008463209 	357.758242491 727.329114471 	
298.974796881 633.379094072 	387.155093329 808.008418838 	357.758240769 727.329113476 	
298.97479487 633.379096424 	387.155079457 808.008377219 	357.758239154 727.329112544 	
