1.65366787225 0.931881046232 	2.86524828506 0.378743239884 	0.655402484141 0.284010677385 	
1.65487736591 0.932039191566 	2.8654763444 0.378520226358 	0.655999129263 0.284861784058 	
1.65601656757 0.932188862661 	2.8656878543 0.378313094676 	0.656564321603 0.285666425992 	
1.65709059783 0.932330552616 	2.86588445425 0.378120301945 	0.657099877911 0.286427460585 	
1.65810409959 0.932464727543 	2.86606757333 0.377940499933 	0.657607512832 0.28714756174 	
1.65906129295 0.932591827148 	2.86623846187 0.377772506264 	0.658088841649 0.287829229132 	
1.65996602291 0.932712265504 	2.86639821799 0.377615280198 	0.658545383781 0.288474797788 	
1.66082180077 0.932826431981 	2.86654780979 0.377467902262 	0.658978566809 0.289086447758 	
1.6616318402 0.932934692278 	2.86668809403 0.377329557097 	0.659389730824 0.289666213682 	
1.66239908871 0.933037389542 	2.86681983178 0.377199519005 	0.659780132965 0.290215994154 	
1.66312625514 0.933134845521 	2.86694370159 0.377077139753 	0.660150952019 0.290737560747 	
1.66381583385 0.933227361742 	2.86706031064 0.376961838255 	0.660503293001 0.291232566671 	
1.66447012586 0.933315220681 	2.86717020414 0.376853091838 	0.66083819164 0.291702554981 	
1.66509125758 0.933398686914 	2.86727387327 0.376750428818 	0.661156618722 0.292148966342 	
1.66568119733 0.933478008238 	2.86737176199 0.376653422183 	0.661459484267 0.292573146315 	
1.66624176991 0.933553416743 	2.86746427279 0.376561684198 	0.661747641503 0.292976352188 	
1.66677466966 0.933625129847 	2.86755177163 0.376474861785 	0.662021890635 0.293359759337 	
1.66728147197 0.933693351268 	2.86763459216 0.37639263255 	0.662282982393 0.293724467145 	
1.66776364362 0.933758271953 	2.86771303942 0.376314701368 	0.662531621375 0.294071504501 	
